# q I sigma_original_independent_frame_assumption
3.200000000000000067e-01 1.150468083909090972e-01 4.125882237462203533e-03
3.250000000000000111e-01 1.126069576454545584e-01 4.082155819702836495e-03
3.300000000000000155e-01 1.059575632727272620e-01 4.028940520873211702e-03
3.350000000000000200e-01 1.055521007454545551e-01 4.039383022745680028e-03
3.400000000000000244e-01 9.853814229090908372e-02 3.918191561067804751e-03
3.449999999999999734e-01 9.397970002727275285e-02 3.844848330869006341e-03
3.499999999999999778e-01 9.880440205454545100e-02 3.769011819722592384e-03
3.549999999999999822e-01 9.856834837272727967e-02 3.842169663690926315e-03
3.599999999999999867e-01 9.992653731818182394e-02 3.959603295275844481e-03
3.649999999999999911e-01 9.315101038181819448e-02 3.797823700909729212e-03
3.699999999999999956e-01 9.824899912727272366e-02 3.747899952174041285e-03
3.750000000000000000e-01 9.317878544545456221e-02 3.692956631935531524e-03
3.800000000000000044e-01 8.894905896363636266e-02 3.868092995465819209e-03
3.850000000000000089e-01 8.842402648181817149e-02 3.622013161201198105e-03
3.900000000000000133e-01 8.596146441818182382e-02 4.051090392872985259e-03
3.950000000000000178e-01 8.392212379999998417e-02 3.800709876325770835e-03
4.000000000000000222e-01 8.209487791818183278e-02 3.676539093138840326e-03
4.050000000000000266e-01 8.266419239090910809e-02 3.671525061783080957e-03
4.099999999999999756e-01 8.764717423636361748e-02 3.471293418939368301e-03
4.149999999999999800e-01 8.148200913636363674e-02 3.481884199021051136e-03
4.199999999999999845e-01 8.063962478181818661e-02 3.502062666194373335e-03
4.249999999999999889e-01 8.180720461818181966e-02 3.614557223354641653e-03
4.299999999999999933e-01 7.585176829090908845e-02 3.473048852460740299e-03
4.349999999999999978e-01 8.028256779999999593e-02 3.553503085466228235e-03
4.400000000000000022e-01 7.426927384545455035e-02 3.271418373661139252e-03
4.450000000000000067e-01 7.667542718181818984e-02 3.296519409459648838e-03
4.500000000000000111e-01 7.667627948181818254e-02 3.322841162880505080e-03
4.550000000000000155e-01 7.935541640909092587e-02 3.312211440039376700e-03
4.600000000000000200e-01 7.486429317272726147e-02 3.205452822851466346e-03
4.650000000000000244e-01 7.463341626363637071e-02 3.372974654327420743e-03
4.699999999999999734e-01 7.278218868181819678e-02 3.116106122605269250e-03
4.749999999999999778e-01 7.389381215454544904e-02 3.300868168747392133e-03
4.799999999999999822e-01 7.131257893636364087e-02 3.550485322616865440e-03
4.849999999999999867e-01 7.420295694545454845e-02 3.833447122259758550e-03
4.899999999999999911e-01 6.699378494545454865e-02 3.268335363971863750e-03
4.949999999999999956e-01 7.324093820909091668e-02 3.232158334728732745e-03
5.000000000000000000e-01 6.990117271818181710e-02 3.058472402715731436e-03
5.100000000000000089e-01 6.749749885454546516e-02 2.185715156900719814e-03
5.200000000000000178e-01 6.810058326363636894e-02 2.140619930837330247e-03
5.300000000000000266e-01 6.059184455454546397e-02 2.044492339640081868e-03
5.400000000000000355e-01 5.998749615454545409e-02 1.970128717672401351e-03
5.500000000000000444e-01 6.457278069090909012e-02 2.085723378979187706e-03
5.600000000000000533e-01 6.478841128181817011e-02 2.124764537786037830e-03
5.699999999999999512e-01 6.280451110909091028e-02 2.044273096134769513e-03
5.799999999999999600e-01 5.895024843636364337e-02 1.992311387408866354e-03
5.899999999999999689e-01 6.075861719090909496e-02 1.991092908686207738e-03
5.999999999999999778e-01 5.676261458181819375e-02 1.929306252976255819e-03
6.099999999999999867e-01 5.348003809090908639e-02 1.875398966033194970e-03
6.199999999999999956e-01 5.505410513636364161e-02 1.837971267651931744e-03
6.300000000000000044e-01 5.542677437272727770e-02 1.915159786735512936e-03
6.400000000000000133e-01 5.363587661818181723e-02 1.810887742214489044e-03
6.500000000000000222e-01 5.263828300000000099e-02 1.858142947927160721e-03
6.600000000000000311e-01 5.234827405454545168e-02 1.843496096154943840e-03
6.700000000000000400e-01 5.359865656363636127e-02 1.880931933002909272e-03
6.800000000000000488e-01 5.168920798181817627e-02 1.844292060627864471e-03
6.899999999999999467e-01 4.972984593636364109e-02 1.741546637043823141e-03
6.999999999999999556e-01 4.729383948181817982e-02 1.756983686692986700e-03
7.099999999999999645e-01 4.862603745454545379e-02 1.752964864641114650e-03
7.199999999999999734e-01 4.815557834545453747e-02 1.697647690821764204e-03
7.299999999999999822e-01 4.659661071818181621e-02 1.776283874042681142e-03
7.399999999999999911e-01 4.485453672727272856e-02 1.671706318762394752e-03
7.500000000000000000e-01 4.609794981818182008e-02 1.716734059806321929e-03
7.600000000000000089e-01 4.694824942727273548e-02 1.756099550349583078e-03
7.700000000000000178e-01 4.425000153636364508e-02 1.677909032983752012e-03
7.800000000000000266e-01 4.374399574545454611e-02 1.716865321712998833e-03
7.900000000000000355e-01 4.493951740909090525e-02 1.741180534066212419e-03
8.000000000000000444e-01 4.241410780909091183e-02 1.644386964062451899e-03
8.100000000000000533e-01 4.304808777272726983e-02 1.652900510664433381e-03
8.199999999999999512e-01 4.230959377272727751e-02 1.659948255593885532e-03
8.299999999999999600e-01 4.227837543636363965e-02 1.634449580416782837e-03
8.399999999999999689e-01 4.029984903636363996e-02 1.661845339205491939e-03
8.499999999999999778e-01 3.827441138181817554e-02 1.615621648511846682e-03
8.599999999999999867e-01 3.650667590000000046e-02 1.524702328696685063e-03
8.699999999999999956e-01 4.033170890909090756e-02 1.640815192785275703e-03
8.800000000000000044e-01 3.772195691818180929e-02 1.631637306950456390e-03
8.900000000000000133e-01 3.932888810000000068e-02 1.558409960888250878e-03
9.000000000000000222e-01 3.838263164545454437e-02 1.568023323098065433e-03
9.100000000000000311e-01 3.747962814545454519e-02 1.460740709170110091e-03
9.200000000000000400e-01 3.674659488181817452e-02 1.428320103758622204e-03
9.300000000000000488e-01 3.747299069090909152e-02 1.476317157299578088e-03
9.399999999999999467e-01 3.739976721818182026e-02 1.439575918469169222e-03
9.499999999999999556e-01 3.717886290909090674e-02 1.444798599380861309e-03
9.599999999999999645e-01 3.703707140000000314e-02 1.398363027152128976e-03
9.699999999999999734e-01 3.641736234545454171e-02 1.364711997996601381e-03
9.799999999999999822e-01 3.787013417272726973e-02 1.349683492149439433e-03
9.899999999999999911e-01 3.779883064545454946e-02 1.437310457416019795e-03
1.000000000000000000e+00 3.823233572727272739e-02 1.409291617964300190e-03
1.030000000000000027e+00 3.567968324545453540e-02 7.881152783015911217e-04
1.060000000000000053e+00 3.736253127272726876e-02 8.279470677650572303e-04
1.090000000000000080e+00 3.736514235454545946e-02 8.520049039730368977e-04
1.120000000000000107e+00 3.654338279090908748e-02 8.459060629159089210e-04
1.149999999999999911e+00 3.756688477272727283e-02 8.497482373356633799e-04
1.179999999999999938e+00 3.819612969090910304e-02 8.746773937231624996e-04
1.209999999999999964e+00 3.866220336363635629e-02 8.959967310876487852e-04
1.239999999999999991e+00 3.982048928181818742e-02 8.985693835101538594e-04
1.270000000000000018e+00 4.052193235454545212e-02 9.691698737412580327e-04
1.300000000000000044e+00 4.138498510909090905e-02 1.026203967671772193e-03
1.330000000000000071e+00 4.361894595454546275e-02 1.119637233671364092e-03
1.360000000000000098e+00 4.487287434545454701e-02 3.549823575419333403e-03
1.389999999999999902e+00 5.393617325454546502e-02 1.907792489938057723e-01
1.419999999999999929e+00 4.473557257272726961e-02 1.652808740054583555e-03
1.449999999999999956e+00 4.645975530909090406e-02 1.736241958697763016e-03
1.479999999999999982e+00 4.661510229999999561e-02 1.971268435333372194e-03
1.510000000000000009e+00 4.655050249999999334e-02 2.231435698809936495e-03
1.540000000000000036e+00 4.648218881818182852e-02 2.563045409845818214e-03
1.570000000000000062e+00 4.488424525454545733e-02 2.956818494899102114e-03
1.600000000000000089e+00 4.694501834545454499e-02 3.487005367306091411e-03
1.629999999999999893e+00 4.368697173636363479e-02 3.912315138792223784e-03
1.659999999999999920e+00 4.170746748181818758e-02 4.384611935873977337e-03
1.689999999999999947e+00 3.966541270909091504e-02 4.980219623197991614e-03
1.719999999999999973e+00 3.748924183636363761e-02 5.594033770432627409e-03
1.750000000000000000e+00 3.263213346363635914e-02 6.268420123968682783e-03
