# q I sigma_shared_baseline
1.660000000000000586e+00 1.619958418679964124e-02 1.530825750801556411e-02
1.690000000000000613e+00 1.491294488037042502e-02 1.690143228385723728e-02
1.720000000000000639e+00 1.271960557189701427e-02 1.855314412556987452e-02
1.750000000000000666e+00 1.004583896518028256e-02 2.044979180238363364e-02
1.780000000000000693e+00 7.896088156561091240e-03 2.362810620452559726e-02
1.810000000000000719e+00 6.572809986043643207e-03 2.656485611892451040e-02
1.840000000000000746e+00 5.917861292536200947e-03 2.818762855313974164e-02
1.870000000000000773e+00 2.138797010391465907e-03 2.895194049794503136e-02
1.900000000000000799e+00 4.461380437003307706e-03 3.010520593240316456e-02
1.930000000000000826e+00 1.612542729944556634e-03 3.112469855746763728e-02
1.960000000000000853e+00 5.238589792817587498e-04 3.199578125676750401e-02
1.990000000000000879e+00 -2.616311886073602148e-04 4.506397772273512681e-02
2.020000000000000906e+00 6.561706140865872184e-04 3.358468999721817699e-02
2.050000000000000711e+00 -7.527044973267054068e-04 3.342569713285899885e-02
2.080000000000000959e+00 -3.473111323279168272e-03 3.256529185000495846e-02
2.110000000000001208e+00 1.438446939337758256e-04 3.117544906078707420e-02
2.140000000000001013e+00 -5.049147455443117605e-03 2.982197126992156000e-02
2.170000000000000817e+00 -4.176676763539433762e-03 2.797778905691983634e-02
2.200000000000001066e+00 -2.367048538536525772e-03 2.627333565274861046e-02
2.230000000000001315e+00 -2.106791256937582540e-03 2.494682661925497549e-02
2.260000000000001119e+00 -4.607528503188904230e-04 2.392034149954655811e-02
2.290000000000000924e+00 -3.165415515830862815e-03 2.286685677884185697e-02
2.320000000000001172e+00 -4.461651904975239349e-03 2.192513589218963999e-02
2.350000000000001421e+00 -1.905567712018550394e-03 2.111522595805061589e-02
2.380000000000001226e+00 -2.449159342899347603e-03 2.123401467760279576e-02
2.410000000000001030e+00 -4.319432911887307637e-03 2.151604685926266497e-02
