# q I sigma_shared_baseline
3.550000000000002043e-01 1.022185301074128305e-01 6.271982766699303602e-03
3.600000000000002087e-01 1.005200927697807167e-01 5.988469337376099884e-03
3.650000000000002132e-01 9.075223670584642299e-02 5.928720606235907131e-03
3.700000000000002176e-01 1.044710356625364878e-01 5.958618912872444898e-03
3.750000000000002220e-01 9.934092025481626453e-02 5.894706852487829885e-03
3.800000000000002265e-01 9.540586149348631584e-02 6.125086364884870654e-03
3.850000000000002309e-01 8.943154720823556780e-02 5.666382096858210010e-03
3.900000000000002354e-01 8.257532400587806742e-02 6.253841451665778130e-03
3.950000000000002398e-01 8.848728627764983201e-02 6.156356965698423986e-03
4.000000000000002442e-01 8.092883720364386912e-02 5.859045707497306625e-03
4.050000000000002487e-01 8.575646747427320693e-02 5.673789147382895214e-03
4.100000000000002531e-01 8.816638552078488733e-02 5.543128909645872113e-03
4.150000000000002576e-01 8.372576261638411954e-02 5.317426892520316431e-03
4.200000000000002620e-01 8.444459628812360508e-02 5.432710901519762804e-03
4.250000000000002665e-01 8.420435086852753881e-02 5.532470889317121082e-03
4.300000000000002709e-01 8.015618811611426031e-02 5.415540351775494088e-03
4.350000000000002753e-01 8.414693854321210476e-02 5.568653794446675777e-03
4.400000000000002798e-01 8.544108912578435300e-02 5.285169966618048776e-03
4.450000000000002842e-01 7.582486424239912037e-02 5.206806629880195332e-03
4.500000000000002887e-01 7.728127736892045907e-02 5.129898224370732854e-03
4.550000000000002931e-01 8.244831831715034032e-02 5.151616358963840778e-03
4.600000000000002975e-01 7.808833088046183979e-02 4.987311694919263107e-03
4.650000000000003020e-01 7.159235833152476081e-02 5.158291628488385211e-03
4.700000000000003064e-01 7.823713674234654414e-02 5.065995948524185631e-03
4.750000000000003109e-01 7.808770713669783980e-02 5.121938637573471807e-03
4.800000000000003153e-01 7.190655096996685647e-02 5.500079502385833187e-03
4.850000000000003197e-01 7.158934509829700810e-02 5.830522503295530561e-03
4.900000000000003242e-01 6.808920879921012692e-02 5.042068453920810905e-03
4.950000000000003286e-01 7.500988265995767179e-02 4.963162620300047567e-03
5.000000000000000000e-01 7.057315152199111763e-02 4.842409463470015614e-03
5.100000000000000089e-01 6.724398593912808697e-02 3.440417297083522580e-03
5.200000000000000178e-01 7.187348024396565671e-02 3.405410429409920590e-03
5.300000000000000266e-01 6.545709073260380650e-02 3.380408494583582533e-03
5.400000000000000355e-01 6.820774160163063649e-02 3.319704681162773899e-03
5.500000000000000444e-01 6.426049010275168560e-02 3.235381755620660941e-03
5.600000000000000533e-01 6.490403885015322283e-02 3.231933167976386041e-03
5.700000000000000622e-01 6.352567605553224861e-02 3.226906040889809205e-03
5.800000000000000711e-01 6.118279777134469355e-02 3.155614475607492787e-03
5.900000000000000799e-01 6.017102588031194438e-02 3.054716072331366012e-03
6.000000000000000888e-01 6.252796753497447124e-02 3.087479568325693109e-03
6.100000000000000977e-01 5.891727039416642941e-02 3.051081202109418369e-03
6.200000000000001066e-01 5.514421109429228085e-02 2.967619356984186035e-03
6.300000000000001155e-01 5.627336098570993178e-02 3.020140311642810667e-03
6.400000000000001243e-01 5.687108741985961308e-02 2.908566628309662127e-03
6.500000000000001332e-01 5.532858786806485463e-02 2.929623913319598892e-03
6.600000000000001421e-01 5.481837898189440006e-02 2.921768203927029711e-03
6.700000000000001510e-01 5.519022822880284562e-02 2.925876707925760545e-03
6.800000000000001599e-01 5.101356908077654684e-02 2.837053892770695016e-03
6.900000000000001688e-01 5.401027778974693688e-02 2.839823043763646786e-03
7.000000000000001776e-01 5.089993693109812894e-02 2.764337817964596621e-03
7.100000000000001865e-01 5.237189263867991079e-02 2.811658818642341282e-03
7.200000000000001954e-01 4.811604116165060785e-02 2.743922971529118640e-03
7.300000000000002043e-01 5.000157847368061348e-02 2.795936283360156687e-03
7.400000000000002132e-01 4.721695288939975477e-02 2.684734514153820899e-03
7.500000000000002220e-01 4.746728845957105120e-02 2.698121096411226164e-03
7.600000000000002309e-01 5.057607149844674937e-02 2.684212097455775711e-03
7.700000000000002398e-01 4.507027184917236640e-02 2.671798454137374809e-03
7.800000000000002487e-01 4.507736816083953574e-02 2.677355152731032435e-03
7.900000000000002576e-01 4.328741246936150533e-02 2.664246890925085331e-03
8.000000000000002665e-01 4.525491518287319548e-02 2.649061313637394131e-03
8.100000000000002753e-01 4.260294388939808025e-02 2.585090218424737022e-03
