# q_A^-1 I sigma_shared_background
1.720000000000000639e+00 1.053329277851309045e-02 1.417061497528845221e-02
1.750000000000000666e+00 1.034973992206758737e-02 1.561568908219539663e-02
1.780000000000000693e+00 9.924517508800505955e-03 1.804873365672747532e-02
1.810000000000000719e+00 6.257907541454348424e-03 2.029089804257454971e-02
1.840000000000000746e+00 5.289659900691458423e-03 2.153289223753375101e-02
1.870000000000000773e+00 2.632924065423690799e-03 2.211587932950820345e-02
1.900000000000000799e+00 3.717184906531589492e-03 2.299303282582064456e-02
1.930000000000000826e+00 2.019907447930723368e-03 2.377503674385987240e-02
1.960000000000000853e+00 1.044603603013174618e-03 2.443998147689142864e-02
1.990000000000000879e+00 -9.141312737353449311e-04 3.437238234774377815e-02
2.020000000000000906e+00 -6.788683826313485952e-04 2.565082365037864645e-02
2.050000000000000711e+00 -1.462071465259525034e-03 2.552826309408386812e-02
2.080000000000000959e+00 -3.379265470285801841e-03 2.487316402358298595e-02
2.110000000000001208e+00 1.634818828085685865e-03 2.380983916641665407e-02
2.140000000000001013e+00 -4.615102259075667436e-03 2.277615365577573270e-02
2.170000000000000817e+00 -2.743377991230038556e-03 2.137095190759440502e-02
2.200000000000001066e+00 -2.247665501113835576e-03 2.006843978792877126e-02
2.230000000000001315e+00 -2.359892257148105046e-03 1.905816311060254051e-02
2.260000000000001119e+00 -1.909306883667405245e-04 1.827745919048107473e-02
2.290000000000000924e+00 -2.047319591031776173e-03 1.746311226587333315e-02
2.320000000000001172e+00 -3.049077499418331207e-03 1.674879678760413798e-02
2.350000000000001421e+00 -1.848818165622384199e-03 1.613198009087622731e-02
2.380000000000001226e+00 -1.070119238370563974e-03 1.621925695256925398e-02
2.410000000000001030e+00 -3.539054326036317980e-03 1.643546873590929353e-02
2.440000000000001279e+00 -2.629431962465956108e-03 1.556752472213534556e-02
