# q_A^-1 I sigma_shared_background
1.390000000000000346e+00 9.942279826364067499e-03 4.970644811087256143e-03
1.420000000000000373e+00 1.165891908901730417e-02 5.249369993085608796e-03
1.450000000000000400e+00 1.218579287801120625e-02 5.392340492111744391e-03
1.480000000000000426e+00 1.244975472733607889e-02 5.924640113962625909e-03
1.510000000000000453e+00 1.210424990232709420e-02 6.601991386741809346e-03
1.540000000000000480e+00 1.221061740967184332e-02 7.419006761104364987e-03
1.570000000000000506e+00 1.263854784008079137e-02 8.337758737286373248e-03
1.600000000000000533e+00 1.080112901442003420e-02 9.324986289126119265e-03
1.630000000000000560e+00 1.023856340436402751e-02 1.045109458637484209e-02
1.660000000000000586e+00 1.210386492743286552e-02 1.167862544417302799e-02
1.690000000000000613e+00 9.570527414629421623e-03 1.289483810569881650e-02
1.720000000000000639e+00 7.293648804596462171e-03 1.415718270720234435e-02
1.750000000000000666e+00 8.848662490292442256e-03 1.559881856895926899e-02
1.780000000000000693e+00 8.142929288481396896e-03 1.803190751154475427e-02
1.810000000000000719e+00 6.388758552645876568e-03 2.027336288855549964e-02
1.840000000000000746e+00 6.148848519889040833e-03 2.150874793779853494e-02
1.870000000000000773e+00 4.747499751402484147e-03 2.209459614245600639e-02
1.900000000000000799e+00 2.785982369991590532e-03 2.297674885628757380e-02
1.930000000000000826e+00 4.148723518688534934e-04 2.375123553692212383e-02
1.960000000000000853e+00 2.829571330774882220e-03 2.442319975051904582e-02
1.990000000000000879e+00 2.886720471272517709e-04 3.433197906247470454e-02
2.020000000000000906e+00 -5.991032946702975619e-05 2.562936289100625417e-02
2.050000000000000711e+00 -2.468793702045746132e-03 2.550787351487816823e-02
2.080000000000000959e+00 -8.785122602031920219e-04 2.485518396089388474e-02
2.110000000000001208e+00 -3.749072333852653417e-03 2.379603210394794569e-02
2.140000000000001013e+00 -3.910309225586485089e-03 2.275988325309044949e-02
2.170000000000000817e+00 -4.701840476124983723e-03 2.135306228629995848e-02
2.200000000000001066e+00 -3.077916412367046311e-03 2.005621922655740491e-02
2.230000000000001315e+00 -2.599645460586043951e-03 1.905246170840087239e-02
