# q_A^-1 I sigma_shared_background
1.270000000000000240e+00 1.065523965194259577e-02 2.626510556418364811e-03
1.300000000000000266e+00 1.037233424991843532e-02 2.873648421768615607e-03
1.330000000000000293e+00 1.097074754841764754e-02 3.235655101599432034e-03
1.360000000000000320e+00 1.041434753892615979e-02 3.636279499350227474e-03
1.390000000000000346e+00 1.096251647365660033e-02 4.694905426456878576e-03
1.420000000000000373e+00 1.266550018624106391e-02 4.960282433943599689e-03
1.450000000000000400e+00 1.311182160071053954e-02 5.093475415792737132e-03
1.480000000000000426e+00 1.266864062115753524e-02 5.598612916582042243e-03
1.510000000000000453e+00 1.224974596405155151e-02 6.237023425731579723e-03
1.540000000000000480e+00 1.325046814553179284e-02 7.009090662475278566e-03
1.570000000000000506e+00 1.256405270372229488e-02 7.877183020130058486e-03
1.600000000000000533e+00 1.171229777581688294e-02 8.810233647312173261e-03
1.630000000000000560e+00 1.054686356234984385e-02 9.875315324104981529e-03
1.660000000000000586e+00 1.159475295551572541e-02 1.103484099513778356e-02
1.690000000000000613e+00 1.025947360698933365e-02 1.218397286087554744e-02
1.720000000000000639e+00 8.021167139625442338e-03 1.337654681392482295e-02
1.750000000000000666e+00 8.930172776017200262e-03 1.473881941535562859e-02
1.780000000000000693e+00 7.092010651778050088e-03 1.703898679101956831e-02
1.810000000000000719e+00 8.707597761801903757e-03 1.915483023261834242e-02
1.840000000000000746e+00 6.118971283942279370e-03 2.032090913708115704e-02
1.870000000000000773e+00 4.911818821180617516e-03 2.087545358145978525e-02
1.900000000000000799e+00 2.698797469230652772e-03 2.170958706618994136e-02
1.930000000000000826e+00 3.133542290834456356e-04 2.244097844405187198e-02
1.960000000000000853e+00 1.520451994074975685e-03 2.307627147630527190e-02
1.990000000000000879e+00 -1.123924458631235252e-04 3.244802147174385976e-02
2.020000000000000906e+00 -7.717903641167058165e-05 2.421613857658147517e-02
2.050000000000000711e+00 -6.674871096122591847e-04 2.410064195815625476e-02
2.080000000000000959e+00 -1.685447071369681723e-03 2.348587604455305497e-02
2.110000000000001208e+00 -3.536125107954826274e-03 2.248403455901268680e-02
2.140000000000001013e+00 -3.365791742353611664e-03 2.150563253661806964e-02
2.170000000000000817e+00 -5.043979755517650695e-03 2.017555332518007963e-02
2.200000000000001066e+00 -4.012688902730144475e-03 1.894880170317501250e-02
2.230000000000001315e+00 -2.412660200864988336e-03 1.800240589524726778e-02
2.260000000000001119e+00 -3.467448892299804936e-03 1.725955904969490168e-02
