# q_A^-1 I sigma_shared_background
2.250000000000001166e-01 6.101776924689884807e-02 4.833116255562718705e-03
2.300000000000001210e-01 6.894224218118284730e-02 4.824800297060467119e-03
2.350000000000001255e-01 5.847197951163825985e-02 4.760260276694838581e-03
2.400000000000001299e-01 7.389538111158794331e-02 4.933915624679667891e-03
2.450000000000001343e-01 6.191972878995408852e-02 5.154217400683334602e-03
2.500000000000001110e-01 5.658069394745477571e-02 4.983453212197100704e-03
2.550000000000001155e-01 5.003963978104208898e-02 5.228509925911254894e-03
2.600000000000001199e-01 5.159592601051800342e-02 5.152105745425917746e-03
2.650000000000001243e-01 3.966095651436964825e-02 5.420098737186141921e-03
2.700000000000001288e-01 5.083613072797997512e-02 5.390367421875003756e-03
2.750000000000001332e-01 3.972316559649623907e-02 5.145300684208899827e-03
2.800000000000001377e-01 4.985030387257548962e-02 5.695338285368941461e-03
2.850000000000001421e-01 4.255603888722838540e-02 5.367274190625203993e-03
2.900000000000001465e-01 4.731665481673906493e-02 5.542145764490288840e-03
2.950000000000001510e-01 3.915236069991763490e-02 5.463437445011968055e-03
3.000000000000001554e-01 4.030491581821570024e-02 5.542576291609321339e-03
3.050000000000001599e-01 3.700446305530764174e-02 5.457111772325763839e-03
3.100000000000001643e-01 4.142130472998048485e-02 5.285764725521911733e-03
3.150000000000001688e-01 3.585992426969971530e-02 5.353220013400068929e-03
3.200000000000001732e-01 3.276920547222031410e-02 5.064036739900560150e-03
3.250000000000001776e-01 3.471068029177882402e-02 5.108149682594295519e-03
3.300000000000001821e-01 3.213553876916045576e-02 5.083780334558675451e-03
3.350000000000001865e-01 3.345257406483371360e-02 4.927306893383904401e-03
3.400000000000001910e-01 3.171556449356236623e-02 5.000632318552499130e-03
3.450000000000001954e-01 3.083537588819143180e-02 5.029529953990878079e-03
3.500000000000001998e-01 3.028111903573925748e-02 4.748879466026112786e-03
3.550000000000002043e-01 3.789311391658532757e-02 4.982863515407433448e-03
3.600000000000002087e-01 2.578056484046954352e-02 4.830810264598906639e-03
3.650000000000002132e-01 2.778400808395765920e-02 4.916540877378696231e-03
3.700000000000002176e-01 3.122655528222889609e-02 4.711339554562069161e-03
