# q_A^-1 I sigma_shared_background
8.600000000000003475e-02 1.057013313947531952e+00 9.570114175525907402e-03
8.800000000000003653e-02 1.009506544623421265e+00 9.647771283030591449e-03
9.000000000000003830e-02 9.749867230279029018e-01 9.638693353589076682e-03
9.200000000000004008e-02 9.307549836975894664e-01 9.496721107823352312e-03
9.400000000000004186e-02 9.171181847987753821e-01 9.415919867348188088e-03
9.600000000000004363e-02 8.568356365854514767e-01 9.450141126810555556e-03
9.800000000000004541e-02 8.381697011469779746e-01 9.339746630458426249e-03
1.000000000000000056e-01 8.108845364851222648e-01 9.245541950887753435e-03
1.050000000000000100e-01 7.350859019844994124e-01 5.684818286797834082e-03
1.100000000000000144e-01 6.727737535422719795e-01 5.538005778417082019e-03
1.150000000000000189e-01 6.318729904198856495e-01 5.411282321613116245e-03
1.200000000000000233e-01 5.737923120327137472e-01 5.297915110503628212e-03
1.250000000000000278e-01 5.358598908357801172e-01 5.345952178009718246e-03
1.300000000000000322e-01 5.031505811279530782e-01 5.385087058457054508e-03
1.350000000000000366e-01 4.678381556948892905e-01 5.158576133588914890e-03
1.400000000000000411e-01 4.391765882259715537e-01 5.062844379672948834e-03
1.450000000000000455e-01 4.090273646377172168e-01 4.964294497489117781e-03
1.500000000000000500e-01 3.771730193875634796e-01 5.156155645142977174e-03
1.550000000000000544e-01 3.548750174252723322e-01 5.182380246318910900e-03
1.600000000000000588e-01 3.358789168293349614e-01 5.194637232207768851e-03
1.650000000000000633e-01 3.167779659345201226e-01 5.233606273174109223e-03
1.700000000000000677e-01 3.012237638498865278e-01 5.256440576346067470e-03
1.750000000000000722e-01 2.876645429453873470e-01 5.203107617402251937e-03
1.800000000000000766e-01 2.643367534585382983e-01 4.494528353553685698e-03
1.850000000000000810e-01 2.534392020990526295e-01 4.516298040437335959e-03
1.900000000000000855e-01 2.402923013301984934e-01 4.388262628848494523e-03
1.950000000000000899e-01 2.278225068616754612e-01 4.407461321111206740e-03
2.000000000000000944e-01 2.224172828415542091e-01 4.460656603102925583e-03
2.050000000000000988e-01 2.095147488850291617e-01 4.535120319640674295e-03
2.100000000000001033e-01 2.040990627744948271e-01 4.436116193013244641e-03
2.150000000000001077e-01 2.073095792345416577e-01 4.550341742633753385e-03
2.200000000000001121e-01 1.918688089504891059e-01 4.377528675653344359e-03
2.250000000000001166e-01 1.840458413925505077e-01 4.408075810334212072e-03
2.300000000000001210e-01 1.711705372929698266e-01 4.293886728418505432e-03
2.350000000000001255e-01 1.710546651994145906e-01 4.451641097267909977e-03
2.400000000000001299e-01 1.589058498083742721e-01 4.684556738960304716e-03
2.450000000000001343e-01 1.455968133185375490e-01 4.648600415346702472e-03
2.500000000000001110e-01 1.563590423172755983e-01 4.862350933411886504e-03
2.550000000000001155e-01 1.429683811084331568e-01 4.759907317009260709e-03
2.600000000000001199e-01 1.462308731601379419e-01 5.031115650255595963e-03
2.650000000000001243e-01 1.363366953837194251e-01 4.827414127360919044e-03
2.700000000000001288e-01 1.319015449177301513e-01 5.062717352689412829e-03
2.750000000000001332e-01 1.368579167681204523e-01 4.795569439634148057e-03
2.800000000000001377e-01 1.258713539859916131e-01 4.772647259752300052e-03
2.850000000000001421e-01 1.258080080540166512e-01 4.930087985988438996e-03
2.900000000000001465e-01 1.276715424004304378e-01 4.691269394702012908e-03
2.950000000000001510e-01 1.147961669944184554e-01 4.828028288806215755e-03
3.000000000000001554e-01 1.172757739308939173e-01 4.780922540078426375e-03
3.050000000000001599e-01 1.098856854993152388e-01 4.879695428120525875e-03
3.100000000000001643e-01 1.111567008597416500e-01 4.759071988285280136e-03
3.150000000000001688e-01 1.077569050540198581e-01 4.683800819608075969e-03
3.200000000000001732e-01 1.090943052050705742e-01 4.636618445620526059e-03
3.250000000000001776e-01 1.086006298165077683e-01 4.607341683085482316e-03
3.300000000000001821e-01 9.775788670286031379e-02 4.486037967413786243e-03
3.350000000000001865e-01 9.926966924875157972e-02 4.390549783353871020e-03
3.400000000000001910e-01 8.936424244847321341e-02 4.305588575826141927e-03
3.450000000000001954e-01 9.077581858700173312e-02 4.535778221895246827e-03
3.500000000000001998e-01 9.113499802790327176e-02 4.190187764275029279e-03
3.550000000000002043e-01 9.639324253283888810e-02 4.435480296971186683e-03
3.600000000000002087e-01 9.513999507705332703e-02 4.314248878098806035e-03
3.650000000000002132e-01 8.772700090979873577e-02 4.235371564834032772e-03
3.700000000000002176e-01 9.284975109050334907e-02 4.197364441427279581e-03
3.750000000000002220e-01 9.247579702609548535e-02 4.193215298845753836e-03
3.800000000000002265e-01 8.564914639556198139e-02 4.342433686320584275e-03
3.850000000000002309e-01 8.557170398578319015e-02 4.032683751229049034e-03
3.900000000000002354e-01 7.856200079717122475e-02 4.455413793206281989e-03
3.950000000000002398e-01 8.089327279218291866e-02 4.352007185237721613e-03
4.000000000000002442e-01 7.855212867901954776e-02 4.135178338294638600e-03
4.050000000000002487e-01 8.058231009193822514e-02 3.982938529410046287e-03
4.100000000000002531e-01 8.297958306194853917e-02 3.927446185569797611e-03
4.150000000000002576e-01 7.844354121112202816e-02 3.827463416490931285e-03
4.200000000000002620e-01 7.883632765883491489e-02 3.872357827734461584e-03
4.250000000000002665e-01 7.698479065010771505e-02 3.949005668113434592e-03
4.300000000000002709e-01 7.135660360663706459e-02 3.798035945451108415e-03
4.350000000000002753e-01 7.818337607889991325e-02 3.919012850651205221e-03
4.400000000000002798e-01 7.447894281305969533e-02 3.758404347877341862e-03
4.450000000000002842e-01 7.223872478742514314e-02 3.701557992446475980e-03
4.500000000000002887e-01 7.322465072231269800e-02 3.693550041428632531e-03
