# q_A^-1 I sigma_shared_background
2.320000000000001172e+00 -2.086066631373621923e-03 9.656778292064871830e-03
2.350000000000001421e+00 -1.753703369668476288e-03 9.377166133068231060e-03
2.380000000000001226e+00 -3.647965377389183680e-03 9.195169306071592982e-03
2.410000000000001030e+00 -1.746162924944746767e-03 4.952256685723158136e-02
2.440000000000001279e+00 -1.816308097018764752e-03 1.070395332192487226e-01
2.470000000000001528e+00 -8.261511780393838121e-04 8.552566159971533577e-03
2.500000000000001332e+00 -1.637328555510287036e-03 8.305442981309325151e-03
2.530000000000001137e+00 -1.278104434973668805e-03 8.155071478580740857e-03
2.560000000000001386e+00 -2.208231801257613380e-03 7.973982658506871546e-03
2.590000000000001634e+00 -5.961581191563426231e-04 7.828377440010598348e-03
2.620000000000001439e+00 -9.418135747543731132e-04 7.698861236926083339e-03
2.650000000000001243e+00 -7.048298273638533423e-04 7.655269563622867264e-03
2.680000000000001492e+00 -1.510556869444932204e-03 7.660704581956867196e-03
2.710000000000001741e+00 -2.004864928229525226e-03 7.485849160632240297e-03
2.740000000000001545e+00 -2.107338944509251025e-03 7.348476395611488500e-03
2.770000000000001350e+00 -1.526929262240688152e-03 7.158396788248551530e-03
2.800000000000001599e+00 -2.018781545988446928e-04 6.924884352972191480e-03
2.830000000000001847e+00 -3.090225656979228228e-03 8.165037847163155588e-03
2.860000000000001652e+00 -2.438189904583271898e-03 6.464956081406481384e-03
2.890000000000001457e+00 -1.608535267690551279e-03 6.217967824675226136e-03
2.920000000000001705e+00 -9.580670525772079418e-04 5.946439745701869589e-03
2.950000000000001954e+00 -1.536561978259449882e-03 5.674200781395527179e-03
2.980000000000001759e+00 -2.540012961270279868e-03 5.401704691437385873e-03
3.010000000000001563e+00 -2.787572935153045158e-03 5.141379988113517832e-03
3.040000000000001812e+00 -1.088377278959324788e-03 5.010613055549787559e-03
3.070000000000002061e+00 -1.688617373752876417e-03 4.668924267851165370e-03
3.100000000000001865e+00 -2.188735993590017800e-03 4.419247732466971904e-03
3.130000000000001670e+00 -9.309272495886612752e-04 4.075604397618988115e-03
3.160000000000001918e+00 4.716770979378570876e-04 4.186808667707743459e-03
3.190000000000002167e+00 1.334867228975925892e-03 4.224238488474300023e-03
