# q_A^-1 I sigma_shared_background
4.150000000000002576e-01 6.281874714983447239e-02 4.152433077233195179e-03
4.200000000000002620e-01 6.575472417875541375e-02 4.106204981216394177e-03
4.250000000000002665e-01 6.472657361523614927e-02 4.274422893434425344e-03
4.300000000000002709e-01 6.267845619878438523e-02 3.971573940628629618e-03
4.350000000000002753e-01 6.183535031378389890e-02 4.116766846255582972e-03
4.400000000000002798e-01 6.122471652442686846e-02 4.063638505728652157e-03
4.450000000000002842e-01 6.160472311127978412e-02 4.027145189361346252e-03
4.500000000000002887e-01 6.056941387947877703e-02 3.903721757866324572e-03
4.550000000000002931e-01 5.718015431866933090e-02 3.876001363963623141e-03
4.600000000000002975e-01 5.863030871071186340e-02 3.851793127007562944e-03
4.650000000000003020e-01 5.791028018078017009e-02 3.907603850266045883e-03
4.700000000000003064e-01 6.215127697733154738e-02 3.814166012959549143e-03
4.750000000000003109e-01 5.616476318765097758e-02 3.885452801539180257e-03
4.800000000000003153e-01 5.866140347205775485e-02 4.191270085661918075e-03
4.850000000000003197e-01 5.306147024959131930e-02 4.302245191368856206e-03
4.900000000000003242e-01 5.380859063164455253e-02 3.763548953521489437e-03
4.950000000000003286e-01 5.503224557631164471e-02 3.701664050979765024e-03
5.000000000000000000e-01 5.339696333572208770e-02 3.760844180223442239e-03
5.100000000000000089e-01 5.683463731627600574e-02 2.555429778308356686e-03
5.200000000000000178e-01 5.492705430831142099e-02 2.570484655318493097e-03
5.300000000000000266e-01 5.028487467647344694e-02 2.467795575477011588e-03
5.400000000000000355e-01 5.089149675825129643e-02 2.507814546138250212e-03
5.500000000000000444e-01 4.968002506608390489e-02 2.444646484481010403e-03
5.600000000000000533e-01 5.139287839645165223e-02 2.449805838039014697e-03
5.700000000000000622e-01 4.807613776212295298e-02 2.423317283085432185e-03
5.800000000000000711e-01 4.577768587273077505e-02 2.366452748897129432e-03
5.900000000000000799e-01 4.587739820229741472e-02 2.341990968115980568e-03
6.000000000000000888e-01 4.721456935706985075e-02 2.302668975049554020e-03
6.100000000000000977e-01 4.610187550277167201e-02 2.307065781943411567e-03
